situation,law_domain
The government contractor used inferior quality materials in road construction,Prevention of Corruption Act
My employer is not maintaining proper wage register,Payment of Wages Act
A person is sending obscene messages to me repeatedly,IT Act
My landlord damaged my belongings while forcibly entering my room,IPC Section 441 (Criminal Trespass)
The airline cancelled my flight without adequate notice and refund,Consumer Protection Act
My employer is not giving me fitness certificate required for work,Factories Act
I was cheated by a fake NGO asking for donations,IPC Section 420 (Cheating and Fraud)
A person is threatening me with a weapon,IPC Section 506 (Severe Criminal Intimidation / Threats)
My landlord is taking rent but not giving proper receipt,Rent Control Act
The bank is not processing my PMAY home loan application,Consumer Protection Act
My employer terminated me based on my religion,Labour Law
A person hacked my email and is misusing my personal information,IT Act
I was not given proper treatment at a government hospital because of my caste,SC ST Act
My employer is not providing canteen facilities as required by law,Factories Act
A person took advance payment for marriage catering and disappeared,IPC Section 420 (Cheating and Fraud)
My landlord is illegally subletting my rented property to others,Rent Control Act
The auto driver refused to ply by meter and overcharged me,Consumer Protection Act
My employer did not give me long service award as per policy,Labour Law
I was cheated in a property deal by a fraudulent broker,IPC Section 420 (Cheating and Fraud)
My neighbor is encroaching on the common area of our apartment,IPC Section 441 (Criminal Trespass)
The hospital is not giving me my medical records,Consumer Protection Act
My employer is not giving me full settlement after resignation,Labour Law
A person is threatening to upload private videos of me online,IT Act
My landlord is not allowing me to install AC in my rented flat,Rent Control Act
I was cheated by a fake online loan app,IT Act
My employer is not following minimum wage rules for contract workers,Minimum Wages Act
A person is impersonating me online to cheat others,IT Act
The builder is not providing occupancy certificate after construction,RERA Act
My employer is not deducting professional tax correctly,Labour Law
I was denied boarding a flight despite valid ticket,Consumer Protection Act
My neighbor is keeping aggressive dogs that threaten residents,IPC Section 289 (Negligent Conduct with Animals)
The delivery person damaged my expensive product and company refuses claim,Consumer Protection Act
My employer is not giving me shift allowance as per policy,Payment of Wages Act
A person took my vehicle for test drive and did not return it,IPC Section 406 (Criminal Breach of Trust)
My landlord is charging extra money for maintenance without bills,Rent Control Act
I was cheated by a fake certification course online,Consumer Protection Act
My employer is forcing me to work on national holidays,Labour Law
A person stole electricity from my connection causing high bills,Electricity Act Section 135 (Theft of Electricity)
The municipality is not providing proper sanitation in my area,Consumer Protection Act
My employer is not registering my workplace under Shops Act,Labour Law
I received threatening legal notice without any valid basis,IPC Section 503 (Criminal Intimidation)
My landlord is not allowing me to run a home business as per agreement,Rent Control Act
The airline lost my baggage and is not compensating properly,Consumer Protection Act
My employer is making female employees work night shift without safety,Labour Law
A person is misusing my credit card details for online purchases,IT Act
My neighbor built a wall that blocks the drainage from my house,IPC Section 268 (Public Nuisance)
The bank rejected my education loan application without valid reason,Consumer Protection Act
My employer is not giving me uniform and safety equipment,Factories Act
I was cheated by a person who sold me fake gold jewellery,IPC Section 420 (Cheating and Fraud)
My landlord is sending goons to force me to vacate,Rent Control Act
The municipality demolished my legally constructed house without notice,Consumer Protection Act
My employer is forcing me to resign by creating hostile conditions,Industrial Disputes Act
A person is sending me repeated unwanted messages proposing relationship,IT Act
My neighbor is using our shared wall to attach structures,IPC Section 441 (Criminal Trespass)
The school is collecting fees for activities the child did not attend,Consumer Protection Act
My employer is not giving me daily allowance for official travel,Labour Law
I was cheated by a fake astrologer who took money for solutions,IPC Section 420 (Cheating and Fraud)
My landlord told broker false things about my character to stop me getting another flat,IPC Section 499 (Defamation)
The e-commerce company is not processing my refund for 3 months,Consumer Protection Act
My employer is making us work without valid employment contract,Labour Law
A person broke into my car and stole valuables,IPC Section 380 (Theft in a Dwelling House)
My neighbor is blocking my house entrance with their vehicle,IPC Section 441 (Criminal Trespass)
The private hospital is overcharging for medicines beyond MRP,Consumer Protection Act
My employer reduced working staff but increased workload without pay hike,Labour Law
I was cheated by a fake solar panel installation company,IPC Section 420 (Cheating and Fraud)
My landlord is not allowing me to change the lock for safety,Rent Control Act
A person is making defamatory videos about me and posting online,IT Act
The railway did not provide promised seat class despite valid ticket,Consumer Protection Act
My employer is not giving me promotion promised in writing,Labour Law
I was cheated by an online gaming platform that took money,IT Act
My neighbor is creating noise pollution from their factory at home,IPC Section 268 (Public Nuisance)
The ATM machine debited money from my account but did not dispense cash,Consumer Protection Act
My employer is not maintaining employee records as required by law,Labour Law
A person is threatening to file false cases against me for money,IPC Section 503 (Criminal Intimidation)
My landlord is withholding my advance deposit without any reason after I vacated,Rent Control Act
The hospital billed me for medicines not used in my treatment,Consumer Protection Act
My employer is firing old employees to hire cheaper workers,Industrial Disputes Act
My husband beats me every day and demands more dowry from my parents,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My in-laws are torturing me for not bringing enough dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband and his family are harassing me for dowry money,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
I am being physically abused by my husband at home regularly,Domestic Violence Act
My mother-in-law is mentally torturing me and demanding gold and cash,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband threatens to kill me if my parents do not give more dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband threw me out of the house because my father could not pay dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
I am a victim of domestic violence and my husband refuses to let me go to my parents house,Domestic Violence Act
My husband burns me with cigarettes and beats me when he is drunk,Domestic Violence Act
My in-laws locked me in a room and starved me for not bringing dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband is emotionally and physically abusing me since marriage,Domestic Violence Act
My wife is being harassed by her in-laws for not bringing a car in dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My sister is being beaten by her husband and his family for dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband slaps me in front of children and demands money from my father,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
I am being tortured by my husband and in-laws after marriage for more gifts,Domestic Violence Act
My husband broke my hand during a fight over dowry demands,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My in-laws are threatening to pour acid on me if dowry is not given,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband forces me to call my parents daily to ask for money and gifts,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
I was thrown out of my marital home because my parents are poor and cannot give dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband and his mother beat me every week demanding cash and jewellery,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My manager makes inappropriate comments about my body at work,POSH Act
My boss asked me for sexual favours in exchange for promotion,POSH Act
A senior colleague keeps touching me inappropriately at office,POSH Act
I received sexually explicit messages from my supervisor at work,POSH Act
My team lead makes vulgar jokes targeting me in meetings,POSH Act
I was denied project because I refused to go on a date with my manager,POSH Act
My coworker keeps staring at me and making uncomfortable remarks about my clothes,POSH Act
My husband wants divorce but I want maintenance for me and my child,Family Law
My wife took my children and is not allowing me to meet them,Family Law
I want to file for divorce due to cruelty by my spouse,Family Law
My ex-husband is not paying the court ordered maintenance amount,Family Law
I want custody of my children after divorce,Family Law
My husband married another woman without divorcing me,Family Law
I need alimony and child support after separation from my husband,Family Law
The builder has not delivered possession of flat even after 3 years,RERA Act
The real estate developer changed the layout plan without informing buyers,RERA Act
I paid full amount for apartment but builder is not giving registry,RERA Act
The builder promised parking space but now says it is not included,RERA Act
My apartment does not have the amenities that were promised in brochure,RERA Act
I was called by caste name and humiliated in front of everyone at office,SC ST Act
My landlord refused to rent me a house because I belong to scheduled caste,SC ST Act
I was denied entry to a temple because of my caste,SC ST Act
My upper caste neighbours are boycotting my family because of our caste,SC ST Act
A shopkeeper refused to serve me food because I am from a lower caste,SC ST Act
A person is threatening to harm my family if I do not give them money,IPC Section 506 (Severe Criminal Intimidation / Threats)
Someone called me and said they will burn my shop if I do not pay,IPC Section 506 (Severe Criminal Intimidation / Threats)
My neighbour threatened to kill me during an argument over parking,IPC Section 506 (Severe Criminal Intimidation / Threats)
A local goon is threatening me to vacate my house or face consequences,IPC Section 506 (Severe Criminal Intimidation / Threats)
I received death threats from an unknown number on my phone,IPC Section 506 (Severe Criminal Intimidation / Threats)
A man follows me every day from college to home on his bike,IPC Section 354D (Stalking)
My ex-boyfriend is stalking me and showing up at my workplace,IPC Section 354D (Stalking)
A stranger has been following me for weeks and taking my photos,IPC Section 354D (Stalking)
Someone is tracking my location and showing up wherever I go,IPC Section 354D (Stalking)
A man keeps waiting outside my house every morning and evening watching me,IPC Section 354D (Stalking)
A money lender is threatening to destroy my house if I do not repay,IPC Section 503 (Criminal Intimidation)
Someone is threatening to release my private information if I do not pay,IPC Section 503 (Criminal Intimidation)
A builder is threatening me with false cases if I demand my refund,IPC Section 503 (Criminal Intimidation)
My company fired me when I informed them about my pregnancy,Maternity Benefit Act
My employer is refusing to give me paid maternity leave of 26 weeks,Maternity Benefit Act
I was demoted after returning from maternity leave,Maternity Benefit Act
My employer is pressuring me to resign because I am pregnant,Maternity Benefit Act
The government officer is asking for Rs 5000 bribe to release my passport,Prevention of Corruption Act
A police inspector demanded money to register my FIR,Prevention of Corruption Act
The municipal officer is asking for bribe to approve my building plan,Prevention of Corruption Act
A bus driver hit my vehicle and ran away without stopping,Motor Vehicles Act
I was injured in a road accident and the other driver had no insurance,Motor Vehicles Act
A drunk driver crashed into my parked car and damaged it completely,Motor Vehicles Act
The auto rickshaw driver was driving recklessly and caused an accident,Motor Vehicles Act
A truck hit a pedestrian in my family and the driver fled the scene,Motor Vehicles Act
Someone stole my laptop from the office locker room,IPC Section 379 (Theft)
My bicycle was stolen from outside the railway station,IPC Section 379 (Theft)
A pickpocket stole my wallet in a crowded bus,IPC Section 379 (Theft)
Someone broke into my car and stole my bag with important documents,IPC Section 379 (Theft)
My gold chain was snatched by two men on a motorcycle,IPC Section 379 (Theft)
Someone broke the lock of my house and stole cash and jewellery,IPC Section 380 (Theft in a Dwelling House)
Thieves entered my house while I was away and stole electronic items,IPC Section 380 (Theft in a Dwelling House)
My house was burgled at night and they took all gold ornaments,IPC Section 380 (Theft in a Dwelling House)
Someone broke into my shop at night and stole the cash register,IPC Section 380 (Theft in a Dwelling House)
A stranger punched me in a road rage incident,IPC Section 351 (Assault)
My neighbour attacked me with a stick during an argument,IPC Section 351 (Assault)
I was slapped by a shopkeeper when I asked for change,IPC Section 351 (Assault)
A group of people beat me up for no reason in the market,IPC Section 351 (Assault)
A man hit me with a bottle during a fight at a restaurant,IPC Section 351 (Assault)
Someone forged my signature on a property sale agreement,IPC Section 463 (Forgery)
A person created a fake will in my deceased father's name,IPC Section 463 (Forgery)
My business partner forged company documents to transfer shares,IPC Section 463 (Forgery)
Someone used my identity to create fake loan documents,IPC Section 463 (Forgery)
My ex-partner is spreading false stories about my character in the community,IPC Section 499 (Defamation)
A competitor is publishing false information about my business to destroy my reputation,IPC Section 499 (Defamation)
Someone posted defamatory content about me on social media with false allegations,IPC Section 499 (Defamation)
My landlord told false things about me to all neighbours to damage my reputation,IPC Section 499 (Defamation)
The sub-registrar is refusing to register my land document without any reason,IPC Section 166 (Public Servant Disobeying Law)
A government clerk is deliberately delaying my pension application,IPC Section 166 (Public Servant Disobeying Law)
The passport office rejected my application without valid reason,IPC Section 166 (Public Servant Disobeying Law)
My employer pays me Rs 200 per day which is below the state minimum wage,Minimum Wages Act
The factory owner is paying workers less than the government minimum wage rate,Minimum Wages Act
I work at a restaurant and my daily wage is below the legal minimum,Minimum Wages Act
My employer hires daily wage workers at rates much lower than minimum wage,Minimum Wages Act
The private school refused to admit my child under RTE 25 percent quota,RTE Act
The school is collecting capitation fee for admission of my child,RTE Act
My child was expelled from school without following proper procedure,RTE Act
The school does not have proper facilities like drinking water and toilets as required,RTE Act
My employer is not depositing my provident fund contribution despite salary deduction,EPF Act
I cannot withdraw my PF because my previous employer did not update my UAN details,EPF Act
My company closed down and I am unable to claim my provident fund money,EPF Act
The employer is showing lower salary in PF records than what I actually receive,EPF Act
My employer deducts ESI from salary but I cannot get treatment at ESI hospital,ESI Act
The ESI hospital refused to treat my family member despite valid ESI card,ESI Act
My company is not registering employees under ESI despite being eligible,ESI Act
I was denied ESI medical benefits after my accident at the factory,ESI Act
I worked for 7 years but my company did not pay me gratuity,Gratuity Act
My employer is saying I am not eligible for gratuity even though I completed 5 years,Gratuity Act
The company calculated my gratuity amount incorrectly and paid less than what I deserve,Gratuity Act
My employer refused to pay gratuity to my father who passed away after 20 years of service,Gratuity Act
My company made huge profits but did not pay bonus to any employee,Payment of Bonus Act
My employer is not paying the statutory minimum bonus of 8.33 percent,Payment of Bonus Act
The company paid bonus only to managers but not to workers despite being profitable,Payment of Bonus Act
I was told I am not eligible for bonus even though I have worked for over a year,Payment of Bonus Act
My female colleague and I do the same job but she gets paid less than me,Equal Remuneration Act
The company pays different salaries to men and women doing identical work,Equal Remuneration Act
My employer openly said women employees will be paid less than men,Equal Remuneration Act
I was offered lower salary compared to a male candidate for the same position,Equal Remuneration Act
Two men stopped me on the road with a knife and took my wallet and phone,IPC Section 392 (Robbery)
I was robbed at gunpoint outside the ATM after withdrawing cash,IPC Section 392 (Robbery)
A gang attacked me on my way home and robbed all my belongings,IPC Section 392 (Robbery)
Someone snatched my bag while threatening me with a blade,IPC Section 392 (Robbery)
My neighbour deliberately broke the windshield of my car out of anger,IPC Section 427 (Mischief Causing Damage)
Someone set fire to my crops in the field due to a personal grudge,IPC Section 427 (Mischief Causing Damage)
A person scratched my new car with a key intentionally in the parking lot,IPC Section 427 (Mischief Causing Damage)
My tenant damaged the entire house before vacating out of spite,IPC Section 427 (Mischief Causing Damage)
My neighbour's aggressive dog bit my child while playing outside,IPC Section 289 (Negligent Conduct with Animals)
A stray dog owned by my neighbour attacked me causing serious injury,IPC Section 289 (Negligent Conduct with Animals)
The owner of a pet dog is not keeping it leashed and it attacks people regularly,IPC Section 289 (Negligent Conduct with Animals)
A private money lender is charging 60 percent annual interest rate,Money Lending Act
The local lender is threatening my family because I cannot pay his unreasonable interest,Money Lending Act
A money lender took my land documents as security and is refusing to return them after repayment,Money Lending Act
An unlicensed money lender is running business in our village and exploiting poor farmers,Money Lending Act
A man exposes himself to women near the school every morning,IPC Section 294 (Obscene Acts and Harassment)
My neighbour uses extremely vulgar and obscene language in public around children,IPC Section 294 (Obscene Acts and Harassment)
A person is performing obscene acts in a public park in front of everyone,IPC Section 294 (Obscene Acts and Harassment)
A local leader is giving speeches promoting hatred between Hindu and Muslim communities,IPC Section 153A (Promoting Enmity / Hate Speech)
Someone is distributing pamphlets promoting violence against a particular caste group,IPC Section 153A (Promoting Enmity / Hate Speech)
A social media page is deliberately spreading content to create communal tension,IPC Section 153A (Promoting Enmity / Hate Speech)
My neighbour filed a false theft complaint against me to harass me,IPC Section 211 (False Criminal Charge)
My ex-wife filed a false dowry case against me and my parents,IPC Section 211 (False Criminal Charge)
A colleague registered a false sexual harassment case against me at work,IPC Section 211 (False Criminal Charge)
The IT department sent me a notice for tax evasion but I have paid all my taxes,Income Tax Act
My employer deducted TDS but did not deposit it with the government,Income Tax Act
I received a wrong income tax demand notice for a very large amount,Income Tax Act
My neighbour has illegally tapped my electricity meter line,Electricity Act Section 135 (Theft of Electricity)
Someone is stealing electricity from the main line in our building,Electricity Act Section 135 (Theft of Electricity)
The tenant is using a hook to bypass the electricity meter to avoid bills,Electricity Act Section 135 (Theft of Electricity)
My child is being denied free education at a nearby school despite being from a poor family,Right to Education
The school charged heavy fees and refused admission under the free education quota,Right to Education
No school in my village provides free education up to class 8 as required by law,Right to Education
I was robbed at knifepoint by two men on the street,IPC Section 392 (Robbery)
Robbers attacked me with a knife and took my cash and phone,IPC Section 392 (Robbery)
I was held at knifepoint near the ATM and robbed of money,IPC Section 392 (Robbery)
A person is threatening to kill me if I do not pay him money,IPC Section 506 (Severe Criminal Intimidation / Threats)
Someone threatened to kill my entire family over a land dispute,IPC Section 506 (Severe Criminal Intimidation / Threats)
I am receiving threats of physical harm from a known person,IPC Section 506 (Severe Criminal Intimidation / Threats)
A man said he will kill me and my children if I go to police,IPC Section 506 (Severe Criminal Intimidation / Threats)
Two men on a bike snatched my gold chain while I was walking,IPC Section 379 (Theft)
A thief snatched my purse and ran away in the crowded market,IPC Section 379 (Theft)
My gold necklace was snatched by a stranger on the street,IPC Section 379 (Theft)
Someone stole my bag containing cash and valuables from the train,IPC Section 379 (Theft)
My employer has not paid my salary for the last three months,Payment of Wages Act
The company is withholding my salary without any valid reason,Payment of Wages Act
My boss refuses to pay wages even after I completed my work,Payment of Wages Act
Someone sent threatening messages saying they will kill my family,IPC Section 506 (Severe Criminal Intimidation / Threats)
I am getting messages threatening to harm me and my children,IPC Section 506 (Severe Criminal Intimidation / Threats)
A person sent me message that he will murder me if I do not obey,IPC Section 506 (Severe Criminal Intimidation / Threats)
I received messages with death threats from a known person,IPC Section 506 (Severe Criminal Intimidation / Threats)
I was thrown out of the house because I didn't bring dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
They are asking for a car as dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
He threatened to kill me if I don't bring 5 lakhs from my father,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband slaps me and abuses me verbally in front of the kids,Domestic Violence Act
My mother-in-law mentally tortures me every day for not bringing gold,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband demands cash from my parents to start a business,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
They forced me to leave my marital home because of dowry demands,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband constantly hits me and insults my family over dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
I am facing severe mental harassment from my in-laws for bringing less dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband refuses to give me food and locks me up for dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
He threatens to divorce me if my father does not give him a bike,Domestic Violence Act
I am a victim of constant physical abuse and domestic violence by my husband,Domestic Violence Act
My husband burns me with cigarettes when I refuse to ask my parents for money,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
They are demanding a flat in dowry and torturing me for it,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
My husband beats me mercilessly after drinking and demands dowry,Dowry Prohibition Act & IPC Section 498A (Dowry Harassment)
